Team 1,Score 1,Team 2,Score 2,Elo Rating 1,Elo Rating 2,New Elo Rating 1,New Elo Rating 2,Week,Year
IND,31,HOU,3,1509.841411487398,1327.232358893699,1527.0388886121273,1310.0348817689699,6,2021
LAR,38,NYG,11,1634.9184850390625,1385.5203755638508,1647.6818752241493,1372.756985378764,6,2021
KC,31,WSH,13,1589.2694600702423,1456.4020757117153,1610.3577708135956,1435.313764968362,6,2021
MIN,34,CAR,28,1455.0021810964738,1438.2774060803383,1486.605240375093,1406.6743468017191,6,2021
BAL,34,LAC,6,1654.8707308826645,1610.9487621269789,1683.8958832763733,1581.92360973327,6,2021
ARI,37,CLE,14,1626.1503972364155,1582.2952691079513,1655.1818358935318,1553.263830450835,6,2021
LV,34,DEN,24,1527.0750748224934,1441.1023383547747,1552.2234243610142,1415.953988816254,6,2021
DAL,35,NE,29,1549.3622157977923,1453.2966850806195,1573.6094514694373,1429.0494494089744,6,2021
PIT,23,SEA,20,1543.2436299192602,1543.846076282909,1576.501197998239,1510.5885082039304,6,2021
TEN,34,BUF,31,1559.9078358778065,1706.4699214856184,1606.3373405612863,1660.0404168021387,6,2021
CLE,17,DEN,14,1553.263830450835,1415.953988816254,1573.7986097031999,1395.4192095638891,7,2021
GB,24,WSH,10,1697.6051464049813,1435.313764968362,1709.5121812656394,1423.4067301077039,7,2021
TEN,27,KC,3,1606.3373405612863,1610.3577708135956,1639.6180334354922,1577.0770779393897,7,2021
ATL,30,MIA,28,1396.671629214008,1412.8594150243273,1431.1034041109083,1378.427640127427,7,2021
NE,54,NYJ,13,1429.0494494089744,1304.626161925021,1450.6464526947423,1283.0291586392532,7,2021
NYG,25,CAR,3,1372.756985378764,1406.6743468017191,1408.8585856008997,1370.5727465795835,7,2021
CIN,41,BAL,17,1474.0168968585824,1683.8958832763733,1524.681141325592,1633.2316388093636,7,2021
LV,33,PHI,22,1552.2234243610142,1396.433607251991,1571.286269764103,1377.370761848902,7,2021
LAR,28,DET,19,1647.6818752241493,1274.409501020682,1654.5546917206977,1267.5366845241335,7,2021
ARI,31,HOU,5,1655.1818358935318,1310.0348817689699,1663.116862261515,1302.0998554009866,7,2021
TB,38,CHI,3,1646.0344834911696,1507.0557259887344,1666.4337961408262,1486.6564133390777,7,2021
IND,30,SF,18,1527.0388886121273,1435.6859072973295,1551.4823154749488,1411.242480434508,7,2021
NO,13,SEA,10,1593.275943838166,1510.5885082039304,1618.490513705803,1485.3739383362933,7,2021
GB,24,ARI,21,1709.5121812656394,1663.116862261515,1737.7845852748776,1634.8444582522768,8,2021
CAR,19,ATL,13,1370.5727465795835,1431.1034041109083,1408.7955836322174,1392.8805670582744,8,2021
BUF,26,MIA,11,1660.0404168021387,1378.427640127427,1670.8019457346854,1367.6661111948802,8,2021
SF,33,CHI,22,1411.242480434508,1486.6564133390777,1450.809521510773,1447.0893722628127,8,2021
PIT,15,CLE,10,1576.501197998239,1573.7986097031999,1608.8476183272655,1541.4521893741733,8,2021
PHI,44,DET,6,1377.370761848902,1267.5366845241335,1399.9951112703534,1244.9123351026822,8,2021
TEN,34,IND,31,1639.6180334354922,1551.4823154749488,1664.1211687117998,1526.9791801986412,8,2021
NYJ,34,CIN,31,1283.0291586392532,1524.681141325592,1335.2388092944248,1472.4714906704205,8,2021
LAR,38,HOU,22,1654.5546917206977,1302.0998554009866,1662.1310979014584,1294.523449220226,8,2021
NE,27,LAC,24,1450.6464526947423,1581.92360973327,1495.0096869964275,1537.5603754315848,8,2021
SEA,31,JAX,7,1485.3739383362933,1266.2928907669432,1499.768736043249,1251.8980930599876,8,2021
DEN,17,WSH,10,1395.4192095638891,1423.4067301077039,1430.6396226679067,1388.1863170036863,8,2021
NO,36,TB,27,1618.490513705803,1666.4337961408262,1655.5607108092686,1629.3635990373607,8,2021
DAL,20,MIN,16,1573.6094514694373,1486.605240375093,1598.2122873525661,1462.0024044919642,8,2021
KC,20,NYG,17,1577.0770779393897,1408.8585856008997,1595.0208223909578,1390.9148411493316,8,2021
IND,45,NYJ,30,1526.9791801986412,1335.2388092944248,1543.0670743428213,1319.1509151502446,9,2021
CLE,41,CIN,16,1541.4521893741733,1472.4714906704205,1567.4222255531079,1446.501454491486,9,2021
DEN,30,DAL,16,1430.6396226679067,1598.2122873525661,1477.4130595545194,1551.4388504659535,9,2021
MIA,17,HOU,9,1367.6661111948802,1294.523449220226,1393.2649719585957,1268.9245884565105,9,2021
ATL,27,NO,25,1392.8805670582744,1655.5607108092686,1445.812093222628,1602.629184644915,9,2021
NYG,23,LV,16,1390.9148411493316,1571.286269764103,1438.6233706466458,1523.5777402667889,9,2021
NE,24,CAR,6,1495.0096869964275,1408.7955836322174,1519.4551883773597,1384.3500822512851,9,2021
JAX,9,BUF,6,1251.8980930599876,1670.8019457346854,1311.1810494574436,1611.5189893372294,9,2021
BAL,34,MIN,31,1633.2316388093636,1462.0024044919642,1650.7878031738187,1444.446240127509,9,2021
LAC,27,PHI,24,1537.5603754315848,1399.9951112703534,1557.7002743127634,1379.8552123891748,9,2021
KC,13,GB,7,1595.0208223909578,1737.7845852748776,1639.893360034171,1692.9120476316643,9,2021
ARI,31,SF,17,1634.8444582522768,1450.809521510773,1651.474177531466,1434.1798022315838,9,2021
TEN,28,LAR,16,1664.1211687117998,1662.1310979014584,1696.2361600745464,1630.0161065387117,9,2021
PIT,29,CHI,27,1608.8476183272655,1447.0893722628127,1627.1094171921343,1428.827573397944,9,2021
MIA,22,BAL,10,1393.2649719585957,1650.7878031738187,1445.4209986305896,1598.6317765018248,10,2021
DAL,43,ATL,3,1551.4388504659535,1445.812093222628,1573.9993132324564,1423.251630456125,10,2021
TEN,23,NO,21,1696.2361600745464,1602.629184644915,1719.8173626554378,1579.0479820640237,10,2021
IND,23,JAX,17,1543.0670743428213,1311.1810494574436,1556.4020734859428,1297.8460503143222,10,2021
NE,45,CLE,7,1519.4551883773597,1567.4222255531079,1555.8452586487597,1531.032155281708,10,2021
BUF,45,NYJ,17,1611.5189893372294,1319.1509151502446,1621.547651433418,1309.122253054056,10,2021
DET,16,PIT,16,1244.9123351026822,1627.1094171921343,1238.52889722974,1633.4928550650764,10,2021
WSH,29,TB,19,1388.1863170036863,1629.3635990373607,1439.4071291292337,1578.1427869118133,10,2021
CAR,34,ARI,10,1384.3500822512851,1651.474177531466,1437.0303160820192,1598.793943700732,10,2021
MIN,27,LAC,20,1444.446240127509,1557.7002743127634,1486.522918247671,1515.6235961926016,10,2021
PHI,30,DEN,13,1379.8552123891748,1477.4130595545194,1420.6116872015136,1436.6565847421805,10,2021
GB,17,SEA,0,1692.9120476316643,1499.768736043249,1708.7540518714618,1483.9267318034515,10,2021
KC,41,LV,14,1639.893360034171,1523.5777402667889,1661.5633701901286,1501.9077301108314,10,2021
SF,31,LAR,10,1434.1798022315838,1630.0161065387117,1482.521868556784,1581.6740402135115,10,2021
NE,25,ATL,0,1555.8452586487597,1423.251630456125,1576.0024438224943,1403.0944452823903,11,2021
IND,41,BUF,15,1556.4020734859428,1621.547651433418,1593.9772597701776,1583.972465149183,11,2021
BAL,16,CHI,13,1598.6317765018248,1428.827573397944,1615.9649413943785,1411.4944085053903,11,2021
CLE,13,DET,10,1531.032155281708,1238.52889722974,1540.9602808858997,1228.6007716255483,11,2021
HOU,22,TEN,13,1268.9245884565105,1719.8173626554378,1327.9230099085923,1660.818941203356,11,2021
MIN,34,GB,31,1486.522918247671,1708.7540518714618,1536.1223028226143,1659.1546672965185,11,2021
MIA,24,NYJ,17,1445.4209986305896,1309.122253054056,1465.286096484166,1289.2571552004797,11,2021
PHI,40,NO,29,1420.6116872015136,1579.0479820640237,1465.8422565885085,1533.8174126770286,11,2021
WSH,27,CAR,21,1439.4071291292337,1437.0303160820192,1470.8902722458615,1405.5471729653914,11,2021
SF,30,JAX,10,1482.521868556784,1297.8460503143222,1498.798005622676,1281.56991324843,11,2021
CIN,32,LV,13,1446.501454491486,1501.9077301108314,1483.2142968709884,1465.194887731329,11,2021
KC,19,DAL,9,1661.5633701901286,1573.9993132324564,1685.438999291921,1550.123684130664,11,2021
ARI,23,SEA,13,1598.793943700732,1483.9267318034515,1620.3793376666258,1462.3413378375576,11,2021
LAC,41,PIT,37,1515.6235961926016,1633.4928550650764,1557.683540577856,1591.4329106798218,11,2021
TB,30,NYG,10,1578.1427869118133,1438.6233706466458,1597.7558686979437,1419.0102888605154,11,2021
CHI,16,DET,14,1411.4944085053903,1228.6007716255483,1427.7397557672539,1212.3554243636847,12,2021
LV,36,DAL,33,1465.194887731329,1550.123684130664,1504.1211399528145,1511.1974319091785,12,2021
BUF,31,NO,6,1583.972465149183,1533.8174126770286,1610.8708554162563,1506.9190224099555,12,2021
CIN,41,PIT,10,1483.2142968709884,1591.4329106798218,1524.0902290989384,1550.5569784518718,12,2021
TB,38,IND,31,1597.7558686979437,1593.9772597701776,1628.8143848444,1562.9187436237214,12,2021
MIA,33,CAR,10,1465.286096484166,1405.5471729653914,1491.3396876472457,1379.4935818023116,12,2021
NE,36,TEN,13,1576.0024438224943,1660.818941203356,1614.9191291967259,1621.9022558291244,12,2021
NYG,13,PHI,7,1419.0102888605154,1465.8422565885085,1454.6173477026014,1430.2351977464225,12,2021
ATL,21,JAX,14,1403.0944452823903,1281.56991324843,1423.938499220874,1260.7258593099464,12,2021
NYJ,21,HOU,14,1289.2571552004797,1327.9230099085923,1324.1372828321007,1293.0428822769713,12,2021
DEN,28,LAC,13,1436.6565847421805,1557.683540577856,1478.572624619475,1515.7675007005616,12,2021
GB,36,LAR,28,1659.1546672965185,1581.6740402135115,1683.6660604819515,1557.1626470280785,12,2021
SF,34,MIN,26,1498.798005622676,1536.1223028226143,1533.5583266988776,1501.3619817464128,12,2021
BAL,16,CLE,10,1615.9649413943785,1540.9602808858997,1640.6896638948888,1516.2355583853894,12,2021
WSH,17,SEA,15,1470.8902722458615,1462.3413378375576,1501.5178056646707,1431.7138044187484,12,2021
DAL,27,NO,17,1511.1974319091785,1506.9190224099555,1541.9144780159204,1476.2019763032135,13,2021
TB,30,ATL,17,1628.8143848444,1423.938499220874,1643.4417857690614,1409.3110982962125,13,2021
ARI,33,CHI,22,1620.3793376666258,1427.7397557672539,1635.8094041634702,1412.3096892704095,13,2021
LAC,41,CIN,22,1515.7675007005616,1524.0902290989384,1547.6123505833302,1492.2453792161698,13,2021
DET,29,MIN,27,1212.3554243636847,1501.3619817464128,1264.648712013178,1449.0686940969194,13,2021
MIA,20,NYG,9,1491.3396876472457,1454.6173477026014,1519.1647472735117,1426.7922880763354,13,2021
PHI,33,NYJ,18,1430.2351977464225,1324.1372828321007,1452.12265808009,1302.249822498433,13,2021
IND,31,HOU,0,1562.9187436237214,1293.0428822769713,1573.777430683544,1282.1841952171487,13,2021
WSH,17,LV,15,1501.5178056646707,1504.1211399528145,1532.850833553962,1472.7881120635232,13,2021
